Origin Time,Latitude,Longitude,Depth,Magnitude,Location,Total Fatalities,Total Injuries,Estimated Economic Loss (USD),Buildings Collapsed,Population Density
2021-07-31 09:43:23 IST,29.06,77.42,5,2.5,"53km NNE of New Delhi, India", ,3,58486,8,1957
2021-07-30 23:04:57 IST,19.93,72.92,5,2.4,"91km W of Nashik, Maharashtra, India",1,5,7121,10,13087
2021-07-30 21:31:10 IST,31.5,74.37,33,3.4,"49km WSW of Amritsar, Punjab, India",3,8,132843,13,1289
2021-07-30 13:56:31 IST,28.34,76.23,5,3.1,"50km SW of Jhajjar, Haryana",3,5,87619,5,2875
2021-07-30 07:19:38 IST,27.09,89.97,10,2.1,"53km SE of Thimphu, Bhutan",1,7,31291,11,4190
2021-07-30 04:39:14 IST,38.52,73.27,115,5.2,"286km NE of Fayzabad, Afghanistan",2,6,96091,17,14929
2021-07-30 03:33:16 IST,27.9,94.2,10,3,"48km W of Basar, Arunachal Pradesh, India",1,5,136377,13,6282
2021-07-29 18:47:30 IST,26.6,92.51,28,3.1,"28km WSW of Tezpur, Assam, India",1,0,92551,4,7550
2021-07-29 14:09:29 IST,22.88,95.95,10,5.5,"107km N of Burma, Myanmar",2,7,60658,7,11556
2021-07-27 16:11:30 IST,37.96,72.39,160,4.3,"188km ENE of Fayzabad, Afghanistan",2,5,88824,8,9564
2021-07-27 05:54:26 IST,32.29,76.65,10,2.6,"31km ENE of Dharamshala, Himachal Pradesh, India",1,5,99026,7,12629
2021-07-26 16:38:34 IST,38.1,75.45,10,4.4,"399km N of Kargil, Laddakh, India",0,6,3525,4,7322
2021-07-26 14:19:17 IST,36.78,73.49,19,4.2,"263km E of Fayzabad, Afghanistan",4,8,92861,14,14584
2021-07-26 10:33:31 IST,24.6,94.33,50,4.9,"39km SSW of Ukhrul, Manipur, India",2,4,32782,6,11962
2021-07-26 05:00:53 IST,16,78.22,10,4,"156km S of Hyderabad, Telangana, India",1,6,132951,8,6050
2021-07-25 20:39:22 IST,27.29,88.5,10,4,"11km WSW of Gangtok, Sikkim",3,4,21947,11,5750
2021-07-25 04:41:22 IST,37.37,71.85,100,4.2,"118km ENE of Fayzabad, Afghanistan",2,1,150634,6,13945
2021-07-24 09:55:40 IST,28.97,77.2,18,2.4,"39km N of New Delhi, India",6,3,79541,9,10282
2021-07-24 01:42:50 IST,36.57,70.78,250,4.5,"62km SSE of Fayzabad, Afghanistan",1,4,72851,5,9340
2021-07-24 01:28:41 IST,30.74,78.68,10,3.4,"23km E of Uttarkashi, Uttarakhand, India",1,5,114722,9,11379
2021-07-23 21:31:58 IST,27.56,91.13,10,3.2,"73km W of Tawang, Arunachal Pradesh, India",2,4,56698,7,8434
2021-07-23 18:42:01 IST,27.35,86.86,10,3.5,"134km W of Yuksom, Sikkim, India",2,5,113937,14,2429
